2023-05-26 22:18:22.923 294:pos-tag                INFO     Best f1:0.2513
2023-05-26 22:18:22.923 295:pos-tag                INFO     ********************
2023-05-26 22:18:25.263 310:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_codet5models/1/layer_9/checkpoint-best-f1/model.bin
2023-05-26 22:18:25.264 315:pos-tag                INFO     ********************
2023-05-26 22:18:25.264 316:pos-tag                INFO     Best MCC:0.5747
2023-05-26 22:18:25.264 317:pos-tag                INFO     ********************
2023-05-26 22:18:27.630 332:pos-tag                INFO   Saving model checkpoint to ./pos_res_java/random/saved_codet5models/1/layer_9/checkpoint-best-mcc/model.bin
2023-05-26 22:18:29.236 351:pos-tag                INFO   ***** Running evaluation *****
2023-05-26 22:18:29.236 352:pos-tag                INFO     Num examples = 293
2023-05-26 22:18:29.236 353:pos-tag                INFO     Batch size = 32
